[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'transactionPointcut': replacing [Root bean: class [org.springframework.aop.aspectj.AspectJExpressionPointcut]; scope=prototype; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.aop.aspectj.AspectJExpressionPointcut]; scope=prototype; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing org.springframework.context.support.GenericApplicationContext@2361d10f: startup date [Fri Apr 22 10:09:10 CST 2016]; root of context hierarchy
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'TUserCopyMapper' and 'com.leweiyou.service.mybatis.dao.x.TUserCopyMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'TUserLoginMapper' and 'com.leweiyou.service.mybatis.dao.x.TUserLoginMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-04-22 10:09:10] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.leweiyou.service.mybatis.dao]' package. Please check your configuration.
[cs-service][INFO] [2016-04-22 10:09:10] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-service/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-04-22 10:09:10] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-service/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 10:09:10] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#1' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 10:09:11] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.annotation.AnnotationCacheOperationSource#0' of type [class org.springframework.cache.annotation.AnnotationCacheOperationSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-04-22 10:09:11] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.config.internalCacheAdvisor' of type [class org.springframework.cache.interceptor.BeanFactoryCacheOperationSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
